library	all	uniq
Index001_1.fq	1953417	1544692
Index002_1.fq	2203117	1750034
Index003_1.fq	2587624	2092916
Index004_1.fq	3417031	2753492
Index005_1.fq	1980484	1567379
Index006_1.fq	2907350	2312378
Index007_1.fq	2202249	1792873
Index008_1.fq	1952718	1577605
Index009_1.fq	1697219	1355123
Index010_1.fq	3417530	2679887
Index011_1.fq	2749739	2232882
Index012_1.fq	2026400	1638529
Index013_1.fq	3306656	2662266
Index014_1.fq	1860262	1502408
Index015_1.fq	2310162	1850523
Index016_1.fq	3164058	2530435
Index017_1.fq	2011756	1633468
Index018_1.fq	2091157	1703759
Index019_1.fq	1884305	1537362
Index020_1.fq	2896572	2369709
Index021_1.fq	1841918	1441374
Index022_1.fq	1657955	1344410
Index023_1.fq	1884788	1546152
Index024_1.fq	2224697	1810465
Index025_1.fq	1220305	977936
Index026_1.fq	1950134	1577766
Index027_1.fq	3129150	2453970
Index028_1.fq	2055245	1673145
Index029_1.fq	1443176	1158164
Index030_1.fq	2089991	1682985
Index031_1.fq	1340218	1080818
Index032_1.fq	1866843	1519132
Index033_1.fq	2376377	1845871
Index034_1.fq	1957259	1566028
Index035_1.fq	1427342	1161028
Index036_1.fq	1366457	1109550
Index037_1.fq	1499717	1235047
Index038_1.fq	2309194	1865662
Index039_1.fq	1079554	875745
Index040_1.fq	2569849	2099787
Index041_1.fq	2092073	1651133
Index042_1.fq	1260929	1014640
Index043_1.fq	2101154	1674606
Index044_1.fq	2493874	2020564
Index045_1.fq	2345517	1880201
Index046_1.fq	2183127	1726490
Index047_1.fq	3097625	2498781
Index048_1.fq	2649722	2117023
Index049_1.fq	2047741	1649026
Index050_1.fq	2275118	1866239
Index051_1.fq	1586926	1283173
Index052_1.fq	2818556	2265135
Index053_1.fq	1114149	896489
Index054_1.fq	2611984	2091250
Index055_1.fq	2996450	2439679
Index056_1.fq	1827233	1521847
Index057_1.fq	1842766	1491598
Index058_1.fq	1933426	1548257
Index059_1.fq	2133286	1730154
Index060_1.fq	2522093	1990030
Index061_1.fq	1852640	1503249
Index062_1.fq	2712097	2183244
