Samples	MeanCp	STD Cp	Mean conc	STD conc
NC	32.28357863	0.260526053	0	0
DTT 50 mM	22.9907865	0.053959433	0	0
2Me 2.5%	24.06057567	0.044432401	0	0
NC	32.25718768	0.125866004	0	0
DTT 50 mM	22.79218151	0.046721589	0	0
2Me 2.5%	23.42225886	0.062559043	0	0
NC	32.32514399	0.216648535	0	0
DTT 50 mM	23.04800827	0.032910368	0	0
2Me 2.5%	23.65245894	0.035870109	0	0
DTT 10 mM	25.82467316	0.089019014	0	0
DTT 100 mM	22.825885	0.044632784	0	0
DTT 10 mM	25.74919498	0.015425656	0	0
DTT 100 mM	22.92323399	0.041133047	0	0
DTT 10 mM	25.03989298	0.046832449	0	0
DTT 100 mM	22.85248423	0.031092872	0	0
