tissue	Condition	Samples		MeanCp	STD Cp	Mean conc	STD conc
leaf	NC	"A1, A2, B1"	NA	29.93511125	0.147138182	0.019172673	0.008043475
leaf	DTT 50 mM	"A3, A4, B3"	NA	26.72734734	0.018111489	1.147587219	0.014810269
root	NC	"A5, A6, B5"	NA	34.34481124	1.134820224	9.78E-09	1.69E-08
leaf	Std	"A7, A8, B7"	12.5	23.55370231	0.04705176	10.95737555	0.369938638
leaf	Std	"A10, A9, B9"	12.5	23.49043644	0.049447461	11.46183925	0.403395593
leaf	Std	"A11, A12, B11"	12.5	23.48178155	0.027608152	11.52930301	0.226407501
leaf	NC	"C1, C2, D1"	NA	29.93329983	0.093908612	0.018749092	0.004949359
leaf	DTT 100 mM	"C3, C4, D3"	NA	27.01655472	0.039241097	0.934520628	0.026058781
root	NC	"C5, C6, D5"	NA	32.72736581	0.463881431	5.54E-07	6.28E-07
leaf	Std	"C7, C8, D7"	10	23.71791582	0.025243387	9.747502219	0.174255245
leaf	Std	"C10, C9, D9"	10	23.76940001	0.025753251	9.397251156	0.171518236
leaf	Std	"C11, C12, D11"	10	23.70998296	0.017618021	9.802087683	0.122473932
leaf	NC	"E1, E2, F1"	NA	29.98523839	0.12150908	0.016495919	0.005340823
leaf	DTT 100 mM	"E3, E4, F3"	NA	26.14789745	0.047355501	1.733071486	0.058549242
root	NC	"E5, E6, F5"	NA	32.51555962	0.157817666	7.05E-07	6.32E-07
leaf	Std	"E7, E8, F7"	5	24.54149273	0.02308032	5.427844312	0.088784368
leaf	Std	"E10, E9, F9"	5	24.47593834	0.01357664	5.686436948	0.054915653
leaf	Std	"E11, E12, F11"	5	24.49720953	0.011761798	5.601055868	0.046718582
leaf	DTT 10 mM	"G1, G2, H1"	NA	30.17761795	0.069536663	0.00938089	0.001940697
leaf	DTT 100 mM	"G3, G4, H3"	NA	25.27623342	0.040243112	3.220143101	0.092866478
root	DTT 100 mM	"G5, G6, H5"	NA	28.9914453	0.012699995	0.144538167	0.003121764
leaf	Std	"G7, G8, H7"	2.5	25.67405019	0.031917226	2.426694527	0.055398128
leaf	Std	"G10, G9, H9"	2.5	25.62001059	0.071517725	2.523486973	0.129962791
leaf	Std	"G11, G12, H11"	2.5	25.62469265	0.012501296	2.512983371	0.022384801
leaf	DTT 10 mM	"I1, I2, J1"	NA	29.90645475	0.231276235	0.021775162	0.0112114
leaf	2Me 2.5%	"I3, I4, J3"	NA	25.97857256	0.058708892	1.955135496	0.080593141
root	DTT 100 mM	"I5, I6, J5"	NA	27.57806801	0.02580168	0.626862023	0.011456457
leaf	Std	"I7, I8, J7"	1	26.81967987	0.112820777	1.076917969	0.085689583
leaf	Std	"I10, I9, J9"	1	26.65481249	0.007718066	1.20825699	0.006638964
leaf	Std	"I11, I12, J11"	1	26.76611895	0.018285854	1.116391219	0.014534315
leaf	DTT 10 mM	"K1, K2, L1"	NA	26.82579806	0.030007161	1.070122182	0.022813105
leaf	2Me 2.5%	"K3, K4, L3"	NA	26.60947542	0.062546301	1.248634534	0.054798597
root	DTT 100 mM	"K5, K6, L5"	NA	28.34768388	0.280127433	0.346941296	0.096533284
leaf	Std	"K7, K8, L7"	0.5	28.15605132	0.17091657	0.412101101	0.057733086
leaf	Std	"K10, K9, L9"	0.5	28.04327978	0.047970696	0.450305771	0.015498145
leaf	Std	"K11, K12, L11"	0.5	27.98479321	0.120588566	0.47058237	0.041285188
leaf	DTT 50 mM	"M1, M2, N1"	NA	26.09275239	0.04553076	1.80230554	0.058392655
leaf	2Me 2.5%	"M3, M4, N3"	NA	25.98670317	0.066918542	1.944207477	0.091791909
leaf	Std	"M7, M8, N7"	0.1	29.21519624	0.228215183	0.100762674	0.041959311
leaf	Std	"M10, M9, N9"	0.1	29.18855067	0.072204545	0.101847297	0.013921865
leaf	Std	"M11, M12, N11"	0.1	29.21316616	0.059313413	0.097031654	0.01121711
leaf	DTT 50 mM	"O1, O2, P1"	NA	26.92093484	0.058401655	1.000566375	0.041519956
